burial,description,plot,url,birthdate,deathdate,name
"Burial: Texas State Cemetery Austin Travis County Texas, USA ","Texas Court of Criminal Appeals Justice. He was a criminal defense attorney and he represented atheist leader Madeline Murray O'Hair and Lee Harvey Oswald, the man who allegedly shot and killed President John F. Kennedy. Mr. Clinton was able to get the guilty verdict against Jack Ruby, the Dallas nightclub owner who killed Oswald on national television, reversed on appeal based on procedural errors. Ruby meanwhile died of cancer while in prison. He served three consecutive six-year terms on the state's highest criminal court. He graduated from Baylor University Law School in 1948. Served in World War II as a naval aviator. Washington aide to Representative Bob Poage of Texas from 1949 to 1950 and a field attorney for the National Labor Relations Board in 1951. Married to Hazel Lindsay Clinton of Austin at the time of his death.    Cause of Death: Alzheimer's disease  (bio by:  Julie Karen Hancock  (Cooper) Jackson) ","Maintained by: Find A Grave Originally Created by:  Julie Karen Hancock  (Co... Record added: Oct 27, 2004",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=9720654&page=gr,"Sep. 17,  1923 Waco McLennan County Texas, USA ","Oct. 5,  2004 Austin Travis County Texas, USA ",Sam Houston Clinton
"Burial: Texas State Cemetery Austin Travis County Texas, USA ",Texas Republic Vice-President. Family links: Parents:  James B. Burleson (1775 - 1836) Spouse:  Sarah Griffin  Owen  Burleson (1796 - 1875) Children:  Edward Burleson (1826 - 1877)  Joseph Rogers Burleson (1830 - 1889)  Grace B.  Burleson  Kyle (1832 - 1860)  David Crockett Burleson (1837 - 1911)  Elizabeth Shipman  Burleson  Sneed (1840 - 1893) Siblings:  Sarah Jane  Burleson  Thrasher (1795 - 1874)  Edward Burleson (1798 - 1851)  Joseph Burleson (1800 - 1877)  James B Burleson (1801 - 1848)  Nancy  Burleson  Rogers (1802 - 1860)  Rachel  Burleson  Rogers (1803 - 1873)  John Shipman Burleson (1806 - 1874)  Jonathan R Burleson (1811 - 1879)  Aaron B Burleson (1815 - 1885)  Elizabeth  Burleson  Brooks (1835 - 1920) Calculated relationship ,"Plot: Republic Hill, Section 1, Row Q, Number 13 GPS (lat/lon):  30.26486, -97.72688 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=5995671&page=gr,"Dec. 15,  1798 ","Dec. 26,  1851 ",Edward Burleson
"Burial: Texas State Cemetery Austin Travis County Texas, USA ","Historical Figure, Author. Former Texas First Lady from 1963-1969.  Wife of Governor  John Connally .  Last survivor of the car that carried President  John Fitzgerald Kennedy . On November 22, 1963, it was Mrs. Connally that uttered the last words the president heard, ""Mr. President, you can't say Dallas doesn't love you,"" moments later those fateful shots rang out.  Nellie Connally was born Idanell Brill in Austin, Texas  one of five children born to Katie and Arno Brill.  She had always aspired to be an actress.  She even auditioned for the role of 'Scarlet O'Hara' in ""Gone With the Wind.""   In 1939 while at college she met her future husband John Connally.  By the time the two married a year later her acting career took a backseat.  She would be busy raising the couples for children and helping her husband with his political aspirations.  She would do everything she could from raising money to answering phones.  Her husband's mentor was future U.S. president Lyndon Johnson.  The Johnson's and the Connally's would remain forever friends, even though Nellie learned he was a man that could not be crossed.  Once when answering phones for him she accidentally disconnected a line and Lyndon Johnson threw a book in her direction.  She knew not to mess with him. Lady Bird Johnson However became a lifelong friend and someone she admired very much.  Nellie was a vivacious lady full of spunk with a great sense of humor.  She was a great asset to her husband's campaign.  In 1961 President Kennedy In 1961, President John F. Kennedy named John Connally Secretary of the Navy.  He did not stay at his job instead he ran for Governor of the state of Texas.  In 1963 he was elected Governor.  It was in November when the President decided to stop campaigning.  A tour of Texas was part of the tour.  John Connally told his wife that if only the people can see him they would surely elect him once again.  The Connally would accompany the Kennedy's on their tour.  On November 21 they went from Austin to San Antonio.  November 22, 1963 they went to Fort Worth and on to Dallas.  Everywhere they went Mrs. Kennedy and Mrs. Connally received a bouquet of roses.  Later on she thought it was funny they had always received yellow or white, but on that day it was red.  The motorcade was on that warm morning, and by days end the President was dead and the Governor was seriously wounded.  After the second bullet hit her husband Nellie just stayed patiently holding the hole in his chest assuring him things would be just fine.  She knew the President was already dead, and stayed focused on her husband.  At the Hospital Jackie Kennedy and Nellie Connally sat next to each other silently waiting to hear the news of their husband's fate.  An attended came up to Nellie and told her they could not operate on her husband until she filled out paperwork.  Years later Nellie would recall that if she had a gun she would have used it.  She was put in a separate room to wait for word of her husband.  The only visit she got was from Lady Bird Johnson with her arms stretched out ready to comfort her.  She would learn her husband survived.  She did not attend the funeral for the President, instead she sent her son John with a note for Mrs. Kennedy.  Jackie Kennedy told her son that if anything good came out of this it was that his father had lived.  The two never spoke again.  Nellie Connally felt it was not fair that her John lived and Jackie's did not.  John Connally would go on to be Secretary of the treasury under Nixon, but his career ended when he was accused of taking a bribe.  Nellie would face a battle with breast cancer that she would win.  She would continue her volunteer work for charitable causes.  In 1993 John Connally died.  In 1994  Jacqueline Kennedy  passed away at age 64 of cancer.  Nellie Connally was the last survivor of that Lincoln limousine.  Nellie Connally would always argue the fact that there was a second shooter on that faithful day.  She would appear on interviews for the fortieth anniversary in 2003.  She would tell everyone she met,"" You can argue with the experts and the Warren commission, but you cannot argue with me, I was in the car. In 2003 she published her account of the day for the first time with the book, 'From Love Field; Our Final hours with President John F. Kennedy.'  A very active person well into her eighties Mrs. Connally died peacfully in her sleep at age 87. (bio by:  The Perplexed Historian) Family links: Spouse:  John Bowden Connally (1917 - 1993) Children:  Kathleen  Connally  Hale (1943 - 1959) Calculated relationship ","Maintained by: Find A Grave Originally Created by:  The Perplexed Historian Record added: Sep 02, 2006",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=15585881&page=gr,"Feb. 24,  1919 Austin Travis County Texas, USA ","Sep. 1,  2006 Austin Travis County Texas, USA ","Idanell ""Nellie"" <i>Brill</i> Connally"
"Burial: Texas State Cemetery Austin Travis County Texas, USA ","Speaker of the Texas House of Representatives, Attorney General of Texas.  JFK Assassination Figure. Born Vincent Waggoner Carr in Fairlie in Hunt County east of Dallas, his family moved to Lubbock in 1932 when the family bank in Fairlie closed. Consequently, he graduated from Lubbock High School in 1936. As a young man, he worked as a farm hand, magazine salesman and theater usher. In 1940, he completed his bachelor of business administration degree at Texas Tech University (then Texas Technological College) in Lubbock. Although he immediately began his legal studies at the University of Texas at Austin law school, he did not graduate until 1947. His studies were interrupted by the beginning of World War II in which he served for three years as an Army Air Corps pilot. He then returned home, completed his law degree and opened a private firm with his brother. In 1948, Carr was appointed assistant district attorney for the 72nd Judicial District in Lubbock. He was also the elected county attorney for Lubbock County from 1949 to 1951. He was elected to the Texas House of Representatives from Lubbock District 19 in 1950. During his ten years of service, he focused on West Texas water quality and availability. Under his leadership, the legislature proposed a constitutional amendment and passed enabling legislation to establish the Texas Water Development Board. At its creation, the board was authorized to issue up to $200 million in water development bonds for the purpose of funding local water projects. Carr also helped to establish a code of ethics for legislators and lobbyists. He promoted tourism and industrial development. He was Speaker of the house for two consecutive terms, from 1957 to 1961. Through 1958, he was the third person in Texas history to have been elected to two consecutive terms as Speaker. While in the legislature, he supported creation of the Texas Youth Council and recodification of juvenile laws, the modernization of workers' compensation statutes, reorganization of the State Insurance Board and authorization and financing of a new State Library and Archives Building in Austin, Texas. Carr was elected attorney general in 1962 and again in 1964. As attorney general, he was involved in the prosecutions of swindler Billie Sol Estes of Pecos, and Jack Ruby, or Jack Rubenstein, the Dallas nightclub owner who murdered Lee Harvey Oswald, the alleged assassin of President John F. Kennedy. On the morning of November 22, 1963, Carr and his wife were among the dignitaries who ate breakfast with President and Mrs. Kennedy in Fort Worth. The president went on to Dealey Plaza in Dallas, and the Carrs flew to the Texas Panhandle for a speaking engagement. Carr learned of the tragic consequences in Dallas as his plane landed. As fate intervened, Carr participated in the investigation of the assassination. He sought to conduct a state probe, but that was blocked by the Warren Commission, which was appointed by President Johnson to determine the circumstances leading to Kennedy's death. In 1966, he ran for United States Senator, but was defeated. At the time of his loss, he had been voted the nation's best state attorney general by his peers. After leaving public office in January 1967, Carr went into private practice and eventually joined the law firm of DeLeon and Boggins in Austin. In 1968 he ran for governor in the Democratic primary in a race to succeed his friend, the retiring John Connally. He ran third in the primary, and the nomination and the election eventually went to Preston Smith. In 1971 he was indicted and tried on charges of fraud, conspiracy and filing false reports to the Securities and Exchange Commission in what was called the ""Sharpstown scandal"". Acquitted of all charges in 1974, he co-authored, with Jack Keever, a book entitled ""Waggoner Carr, Not Guilty"" (1977). He was appointed to the board of regents of Texas Tech University, serving from 1969 to 1972. He also was state commander of the American Legion. In 1989, he was selected to chair the Action for Metropolitan Government Committee in an attempt to unite the Austin municipal and Travis County governments. He was awarded a certificate of appreciation from the Austin City Council in 1991, and that same year he was appointed by the Texas Supreme Court to serve on a citizens' commission examining the Texas judicial system. He also wrote ""Texas Politics in My Rearview Mirror"", (1994) with co-author, Byron Varner. At the time of his death, he was writing books about Jesse James and the past attorneys general of Texas. Succumbing to cancer after a ten year battle, he was interred in Texas State Cemetery in Austin. (bio by:  H M G) Family links: Spouse:  Ernestine  Story  Carr (1920 - 2013) Calculated relationship Cause of death: Cancer ","Maintained by: Find A Grave Record added: Mar 01, 2004",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=8456672&page=gr,"Oct. 1,  1918 Fairlie Hunt County Texas, USA ","Feb. 25,  2004 Austin Travis County Texas, USA ",Vincent Waggoner Carr
"Burial: Austin Memorial Park Cemetery Austin Travis County Texas, USA ","Professional football player. After graduating from G. W. Brackenridge High School in San Antonio, Texas, William Harold Collins attended the University of Texas. He played for them in 1941 and 1942. He joined the Marine Corps in 1943 and was sent to Southwestern University as part of its training program. After the war he returned to the University of Texas where he was captain of the football team in 1946. He was drafted in 1947 by the New York Yankees in the All-America Football Conference, but ended up playing as guard that year for the Boston Yanks in the NFL. He played a full season of twelve games for the Yanks who garnered third place in the NFL East that year. He served as head football coach at Southwestern University before the Korean War. He earned the Bronze Star Medal. He was a high school football coach before entering the insurance business in Austin, Texas, in 1956. (bio by:  Mel Bashore) ","Maintained by: Find A Grave Originally Created by:  Mel Bashore Record added: Sep 09, 2007",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=21457181&page=gr,"Mar. 4,  1922 Breckenridge Stephens County Texas, USA ","Mar. 26,  1996 Temple Bell County Texas, USA ","Bill ""Spot"" Collins"
"Burial: Oakwood Cemetery Austin Travis County Texas, USA ","Texas Governor. Born in Camilla, Georgia, he learned the printing trade, moved to Daingerfield, Texas, founded the Pittsburg, Texas Gazette and published the Terrell, Texas Times-Star. He also founded the First National Bank of Terrell, was a member of the Texas Senate (1895-97), a Texas State Revenue Agent in 1898 and Texas Railroad Commissioner, (1903-11). In 1911, he was elected as a Democrat the 25th Governor of Texas, serving until 1915. His achievements during his two terms in office included completion of state prison system reform, increased appropriations for the state's educational institutions and labor protections. After Governorship, he became involved in the petroleum industry in Dallas and served on the U.S. Board of Mediation, from 1935, until his death at age 78 in Dallas, Texas. (bio by:  John ""J-Cat"" Griffith) Family links: Parents:  Thomas Jefferson Colquitt (1825 - 1886)  Ann Eliza  Burkhalter  Colquitt (1832 - 1879) Spouse:  Alice Fuller  Murrell  Colquitt (1865 - 1949) Children:  Rosolino Murrell Colquitt (1887 - 1941)  Oscar Branch Colquitt (1890 - 1946)  Mary Alice  Colquitt  Laubach (1894 - 1983)  Walter F. Colquitt (1896 - 1910) Siblings:  Eula  Colquitt  Williams (1855 - 1931)  David T. Colquitt (1859 - 1942)  Oscar Branch Colquitt (1861 - 1940)  William F Colquitt (1864 - 1929)  John M. Colquitt (1866 - 1957)  Pierce Colquitt (1871 - 1962) Calculated relationship ","Plot: Section 3, Block 3, Lot 1051 GPS (lat/lon):  30.27794, -97.7257 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=18202&page=gr,"Dec. 16,  1861 Camilla Mitchell County Georgia, USA ","Mar. 8,  1940 Dallas Dallas County Texas, USA ","Oscar Branch Colquitt, Sr"
"Burial: Oakwood Cemetery Austin Travis County Texas, USA ","US Congressman, Presidential Cabinet Secretary. He was elected as a Democrat to represent Texas' 9th and 10th Congressional Districts in the United States House of Representatives, serving from 1899 until his resignation in 1913 to accept the appointment of United States Postmaster General. He served as Postmaster General during the administrations of President Woodrow Wilson, serving from 1913 to 1921. Family links: Parents:  Edward Burleson (1826 - 1877)  Emma Lucy  Kyle  Burleson (1832 - 1877) Spouse:  Adele Lubbock  Steiner  Burleson (1863 - 1948) Children:  Laura Schley  Burleson  Negley (1890 - 1973)  Steiner Burleson (1892 - 1899)  Lucy Kyle  Burleson  Grimes (1894 - 1967)  Sidney Adele  Burleson  Smith (1897 - 1995)  Infant Son Burleson (1901 - 1901) Siblings:  Edward Claiborne Burleson (1855 - 1863)  James Green Burleson (1859 - 1915)  Ford McCullough Burleson (1861 - 1887)  Albert Sidney Burleson (1863 - 1937)  Kyle Burleson (1865 - 1866)  Edward Burleson (1867 - 1873)  Emma Kyle Burleson (1869 - 1941)  Lily Kyle  Burleson  MacDonnell (1871 - 1948)  Mary Kyle  Burleson  Bee (1873 - 1923) Calculated relationship ","Maintained by: Find A Grave Originally Created by:  Mark Pawelczak Record added: Jul 12, 2002",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=6600148&page=gr,"Jun. 7,  1863 San Marcos Hays County Texas, USA ","Nov. 24,  1937 San Marcos Hays County Texas, USA ",Albert Sidney Burleson
"Burial: Oakwood Cemetery Austin Travis County Texas, USA ","Professional Tennis Player. Born in San Antonio, Texas, Wilmer was one of two children of Dr. and Mrs. Wilmer L. Allison. A graduate of Fort Worth Central High School, where he was an outstanding amateur baseball player. He enrolled at the University of Texas in 1925 after his father refused to permit him to sign a professional baseball contract with the Beaumont team of the Texas League. At UT he began an internationally acclaimed career as a tennis player. Under the tutelage of Daniel A. Penick he won the Southwest Conference and National Collegiate Athletic Association championships in 1927. Wilmer won the Wimbledon doubles title in 1929 and 1930 with partner John Van Ryn. Wilmer's finest moment as a singles player was when he upset the legendary Henri Cochet of France in the quarterfinal round of the 1930 Wimbledon tournament. He achieved the number one ranking in the United States in 1934 and again in 1935 and won the United States National Open Championship in 1935 by defeating Fred Perry in the semifinals and then Sydney Wood for the title at Forest Hills, New York. Along with partner Van Ryn he claimed National Doubles in 1931 and 1935 and finished second in 1930, 1932, 1934, and 1936. Allison competed on behalf of the United States in Davis Cup competition from 1928 until 1937. He retired from full time competition in 1937 after a serious injury to his lower abdomen. Upon retirement, he served as an assistant to Penick at the University of Texas from 1938 to 1941, when he left to join the army air corps; he achieved the rank of colonel. After his discharge he returned to the university in 1947 and served as Penick's assistant until 1957. That year he became the head tennis coach at the university, where he served until his retirement in 1972. He was elected to the Texas Sports Hall of Fame in 1957 and is a member of the Longhorn Hall of Honor. In 1963 he was enshrined in both the national and international tennis halls of fame. (bio by:  Shock) Family links: Parents:  Elizabeth  Bozeman  Allison (1880 - 1918) Spouse:  Ann  Caswell  Allison (1905 - 1993) Sibling:  Wilmer Lawson Allison (1904 - 1977)  Lorrie Davidson Allison (1916 - 1987) Calculated relationship ","Plot: Section 2, Lot 801 (Caswell Lot) GPS (lat/lon):  30.16563, -97.4352 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=18095&page=gr,"Dec. 8,  1904 San Antonio Bexar County Texas, USA ","Apr. 20,  1977 Austin Travis County Texas, USA ","Wilmer Lawson Allison, Jr"
"Burial: University of Texas at Austin Austin Travis County Texas, USA ","Mascot. The idea to use a live longhorn as the university's mascot is attributed to UT alumnus Stephen Pinckney in 1916. Pinckney gathered $124 from other alumni to purchase a steer in the Texas Panhandle, which they originally named ""Bo"" and shipped to Austin. The original mascot was a pit bulldog named ""Pig"". During a halftime game, two West Texas cowboys dragged a half-starved and frightened longhorn steer onto the field, where it was formally presented to the UT student body by a group of Texas Exes. They were led by Stephen Pinckney (LL.B. 1911), who had long wanted to acquire a real longhorn as a living mascot for the University. While working for the U. S. Attorney General's office, he'd spent most of the year in West Texas assisting with raids on cattle rustlers. A raid near Laredo in late September turned up a steer whose fur was so orange Pinckney knew he'd found his mascot. With $1.00 contributions from 124 fellow alumni, Pinckney purchased the animal and arranged for its transportation to the University campus. Loaded onto a boxcar without food or water, the steer arrived at the Austin train station just in time for the football game. After presenting the longhorn to the students, the animal was removed to a South Austin stockyard for a formal photograph and a long overdue meal. In the meantime, the Texas football team ran two punts in for scores to win the game 21 - 7.  And to spread the news, the December 1916 issue of the Texas Exes Alcalde magazine was rushed into press. Editor Ben Dyer (BA 1910) gave a full account of the game and halftime proceedings. About the longhorn, Dyer stated simply, ""His name is Bevo. Long may he reign!"". With the football season over, the steer remained in South Austin while UT students discussed what to do with him. The Texan newspaper favored branding the longhorn with a large ""T"" on one side and ""21 - 7"" on the other as a permanent reminder of the Texas victory. The debate was abruptly settled early on Sunday morning, February 12, 1917. A group of four Texas A &amp; M students equipped ""with all the utensils for steer branding"" broke into the South Austin stockyard at 3:00am. There was a struggle, but the Aggies were able to brand the longhorn ""13 - 0,"" which was the score of the 1915 football game A &amp; M had won in College Station. There have been fourteen Bevos since the first one was introduced.  However, now instead of buying a longhorn they are supplied to the university by John T. Baker, owner of the Sunrise Ranch in Liberty Hill, Texas. (bio by:  Shock) ","Maintained by: Find A Grave Record added: Jul 31, 2000",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=11328&page=gr,unknown ,unknown ,BEVO
"Burial: Texas State Cemetery Austin Travis County Texas, USA GPS (lat/lon):  30.26532, -97.72714 ","Father of Texas. When he was seven years old the family moved from his father's lead mines in Virginia to southeastern Missouri. He was educated in Connecticut and at Transylvania University in Lexington, Kentucky. After returning to Missouri he gradually assumed management of his father's lead business while holding military and public positions in Missouri and Arkansas. He subsequently studied law in New Orleans. He reached San Antonio, Texas late in 1821 after his father's death. His father had been given 200,000 acres and Stephen was among the first to colonize the Spanish grant. He expanded and wholly managed the colony, becoming the most successful of all the empresarios' as those who contracted to settle colonies were called. He was responsible for building a sound legal base for his settlement, as well as the continued introduction of slaves. At first he was loyal to Mexico and desirous of his colony remaining apart from political turmoil that was wracking the country believing Texas could become an independent state within the Mexican commonwealth. He sought to thwart the ambition of his people to annex to the United States. Against his better judgment he went to Mexico City with a petition requesting the creation of an independent state government for Texas. He was placed in jail and upon his release he returned to Texas in time to participate in the revolution. He served initially as commander of the region's volunteer army. He then journeyed to the United States to garner support for their efforts. He returned to Texas in June of 1836, after the fighting had all but ceased. He was defeated by Sam Houston for election as the president of the new republic. Houston appointed him to be Secretary of State, but he would only serve for two months before he died. The original capital of Texas was known as Columbia, now West Columbia, and it was there that Austin caught a severe cold and died from pneumonia. Upon hearing of Austin's death, Houston ordered an official statement proclaiming: ""The Father of Texas is no more; the first pioneer of the wilderness has departed."" His body was taken by wagon from Columbia and was put on a boat on the Brazos River and taken to the Gulf Prairie Cemetery in Jones Creek, Texas. In 1910 his remains were removed and taken to the Texas State Cemetery in Austin. (bio by:  Tom Todd) Family links: Parents:  Moses Austin (1761 - 1821)  Mary  Brown  Austin (1768 - 1824) Siblings:  Eliza Austin (1790 - 1790)  Stephen Fuller Austin (1793 - 1836)  Emily Margaret  Austin  Perry (1795 - 1851)  William Jackson Austin (1798 - 1863)  James Elijah Brown Austin (1803 - 1829) Calculated relationship ","Maintained by: Find A Grave Record added: Jan 01, 2001",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=45&page=gr,"Nov. 3,  1793 Austinville Wythe County Virginia, USA ","Dec. 27,  1836 West Columbia Brazoria County Texas, USA ",Stephen Fuller Austin
