burial,description,plot,url,birthdate,deathdate,name
"Burial: Texas State Cemetery Austin Travis County Texas, USA ","Civil War Union Brigadier General. Governor of Texas. Edmund Davis was born to a respected family in St Augustine, Florida. He started his education there, moving in January of 1848 with his family to the boom town of Galveston, Texas where he studied law and worked as a clerk. The following year he moved to Corpus Christi and was admitted to the bar, then transferred to Laredo where he worked as a deputy customs collector until he was elected district attorney of the Twelfth Judicial District of Brownsville in 1853. He was named judge of the district in 1856, married Anne Britton in April 1858 and served as a state judge until the outbreak of the Civil War in 1861; when he refused to swear allegiance to the Confederacy, he was removed from office. Because of his stand with the Union, he was forced to flee the state in May 1862 and made his way through New Orleans to Washington DC where he personally appealed to Abraham Lincoln to provide arms and troops to recapture Texas. Not only was he successful, but he received the position and rank of colonel and commander of the new First Texas Cavalry unit. He led his men through many battles: the fight at Galveston in January, 1863, where his unit barely escaped; his capture by the Confederates in Matamoros until the Mexican government intervened; fighting alongside General Nathaniel Banks during the Rio Grande campaign. After his unit successfully targeted the cotton trade along the border by seizing supplies and releasing slaves, he was promoted to brigadier general on November 4, 1864. From that point forward he commanded the cavalry in the Division of Western Mississippi. On June 2, 1865, he was one of the generals who accepted the terms of surrender of the Confederate forces in Texas. He returned to state politics after the war, representing the border district and attending the Constitutional Conventions of 1866, 1868 and 1869. In fall of 1869 he ran and won the position of Texas governor, implementing re-constructionist policies to help repair the damage that the Civil War had brought. He restored the state militia, reorganized the public school system, created the bureau of immigration and set up forts along the western frontier. All of these changes, though necessary, were very unpopular and he was not reelected when his term expired in 1874. From 1875 until his death, Davis was the head of the state Republican party, trying several times to gain reelection as governor or election to Congress, but to no avail. He was hoping for a cabinet position under President Chester A Arthur when he died in Austin; in recognition of his service, he was laid to rest with full honors in the Texas State Cemetery. His monument, erected by his brother, is the tallest and most massive of all. (bio by:  Screwtape) Family links: Parents:  William G. Davis (____ - 1853)  Mary Ann  Channer  Davis (____ - 1885) Spouse:  Anne Elisabeth  Britton  Davis Smith (1838 - 1925) Children:  Waters S Davis (1862 - 1935) Calculated relationship ","Plot: Republic Hill, Section 1, Row Q, Number 19 GPS (lat/lon):  30.26545, -97.7273 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=5894328&page=gr,"Oct. 1,  1827 Saint Augustine St. Johns County Florida, USA ","Feb. 7,  1883 Austin Travis County Texas, USA ",Edmund Jackson Davis
"Burial: Texas State Cemetery Austin Travis County Texas, USA ","Confederate States Congressman. Born in Fayette County, Mississippi, he moved to Texas and purchased land on the Guadalupe River, in 1841. He became a prominent Texas politician and served two terms in the Texas State Senate. During the Civil War, he served in the Confederate Army and was appointed Colonel in command of the 5th Infantry Regiment, on the Texas Gulf Coast. In 1863, he resigned from the Army when elected to the Second Confederate Congress, serving until 1865. As a Confederate Congressman, he served on the Naval Affairs Committee, fought against taxation and the confiscation of slaves for public works. After the war, he returned to his Gonzales County farm and was appointed Texas comptroller of public accounts, serving (1874-81). He also assisted in organizing the Texas State Democratic Party and was secretary of the Texas Veterans Society, from 1886 until his death at age 85 in Wharton, Texas. (bio by:  John ""J-Cat"" Griffith) ","Plot: Republic Hill Section 1 Row V Plot 4 GPS (lat/lon):  30.1592, -97.43649 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=18195&page=gr,"Nov. 19,  1816 ","May 16,  1902 ",Stephen Heard Darden
"Burial: Texas State Cemetery Austin Travis County Texas, USA *Cenotaph  ","Texas State Representative, State Senator. The brother of  former Governor and United States Treasury Secretary  John Bowden Connally, Jr. , and  Merrill Lee Connally, Sr. , a noted actor and former county judge. Born in Wilson County, Texas, to a tenant farmer and his wife,  he attended schools in Floresville and San Antonio, and attended the University of Texas in Austin. He joined the United States Army Air Corps (now the United States Air Force) at the start of World War II. After the war, Connally returned to the ranch before he followed his brother's footsteps into politics.  He was elected to the Texas House of Representatives in 1964, and won a seat in the State Senate two years later, where he represented Senate District 21 from the 59th through the 62nd Texas Legislatures, a position he held until January 1973. He was also honored by his peers as ""Governor for a Day"" in October 1971. He left a legacy which includes creating the first upper-level higher education institution in Laredo in 1970, which was the first step towards establishing Texas A &amp; M International University in 1993. The Texas State Senate introduced a resolution on March 19, 2001, on what would have been Connally's 78th birthday, to recognize his public service. After leaving the legislature, Connally spent the remainder of his life working on his family ranch, until he moved to Cody, Wyoming to be closer to his children. He died in Wyoming, and his ashes were scattered on the family land in Floresville,  Wilson County,  Texas. The marker at Texas State Cemetery was erected by his friends and is a cenotaph. (bio by:  H M G) Family links: Parents:  John Bowden Connally (1887 - 1950)  Lela  Wright  Connally (1889 - 1980) Spouse:  Kay E.  Emmons  Connally (1935 - 2015) Children:  Wyatt Jay Connally (1956 - 2006) Siblings:  Stanford W Connally (1911 - 1999)  Carmen  Connally  Hicks (1914 - 1998)  John Bowden Connally (1917 - 1993)  Merrill L. Connally (1921 - 2001)  Wayne Wright Connally (1923 - 2000) Calculated relationship ","Maintained by: Find A Grave Originally Created by:  Graveaddiction Record added: Oct 20, 2005",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=12107262&page=gr,"Mar. 19,  1923 Floresville Wilson County Texas, USA ","Dec. 20,  2000 Cody Park County Wyoming, USA ",Wayne Wright Connally
"Burial: Texas State Cemetery Austin Travis County Texas, USA ","Republic of Texas Figure. Born in Fredericksburg, Virginia, he was in the medical drug business when he moved to New Orleans and volunteered for the New Orleans Grays in 1835. He arrived with a company of the New Orleans Grays at Velasco, Texas, in October 1835, was elected 1st Lieutenant and after arrival at Bexar on November 8, 1835, was elected Captain of his company and raised volunteers. At the Siege of Bexar, he led a party that captured the post house on the main plaza, forcing the Mexican capitulation to  surrender. Shortly after the arrival of Sam Houston, Cooke offered his services to the Texas Army and was sent with his company to Refugio to join with Colonel James Fannin's troops. Ordered to proceed to the Rio Grande, he received a letter from Colonel William Grant to go to Goliad, where he joined General Houston's staff. He assisted Houston in organizing the troops and at the Battle of San Jacinto March 13, 1836, he  served as Houston's chief of staff with the rank of Major. After the battle he was in charge of the guard of the prisoners which included General Antonio Lopez de Santa Anna. After the Texas Revolution, he was appointed stock commissioner in Houston's first administration and received a commission as Quartermaster General of the Texas Republic in 1838. On September 2, 1844, he was elected as a representative from Bexar County to the House of the Ninth Congress and served one term as chairman of the Committee on Military Affairs. In April 1846, he was appointed the first Adjutant General of the State of Texas by Governor James Henderson and served in office until his death from tuberculosis. (bio by:  John ""J-Cat"" Griffith) ","Plot: Republic Hill Section 1 Row S Plot 7 GPS (lat/lon):  30.1592, -97.43642 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=18183&page=gr,"Mar. 28,  1808 Fredericksburg Fredericksburg City Virginia, USA ","Dec. 21,  1847 Austin Travis County Texas, USA ",William Cooke
"Burial: Texas State Cemetery Austin Travis County Texas, USA ","Signer of the Texas Declaration of Independence. William Crawford was born in Fayetteville, North Carolina on September 13, 1804. His family later moved to Georgia, where both his parents died in 1821 when William was only seventeen. He took on work for a tailor from 1821 until 1830 when he was ordained a Methodist minister and assigned to Alabama. He married Rhoda Watkins in 1834 and the next year he and his wife settled near Shelbyville, Texas where they eventually raised nine children. In 1836 William Crawford was one of two delegates representing Shelby County to attend the Convention of 1836 to discuss the coming secession and war with Mexico; it was there that he signed the Texas Declaration of Independence. He returned home to carry on his work until 1859, when the family moved to Camp County, Texas, becoming the postmaster from 1874 until 1881 when his wife passed away. William Crawford died while visiting his son on September 3, 1895. He was the last surviving signer; by a strange coincidence he was related to Charles Carroll, who had been the last surviving signer of the United States Declaration of Independence. He was buried in Cow Creek Cemetery near Dublin until 1936, when he was reinterred in the Texas State Cemetery in Austin in recognition of his contributions to the Republic of Texas. Family links: Children:  William Carroll Crawford (1844 - 1924) Calculated relationship ","Plot: Republic Hill Section 1 Row U Plot 14 GPS (lat/lon):  30.15926, -97.43645 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=18051&page=gr,"Sep. 13,  1804 ","Sep. 3,  1895 ",Rev William Carroll Crawford
Cause of death:  Lung Cancer (bio by:  K) Family links: Parents:  John Bowden Connally (1887 - 1950)  Lela  Wright  Connally (1889 - 1980) Spouse:  Mary Catherine  Howard  Connally (1930 - 2016) Siblings:  Stanford W Connally (1911 - 1999)  Carmen  Connally  Hicks (1914 - 1998)  John Bowden Connally (1917 - 1993)  Merrill L. Connally (1921 - 2001)  Wayne Wright Connally (1923 - 2000) Calculated relationship ,"Actor. A native of Floresville, Texas, he appeared as the Team Leader in director Stephen Spielberg's 1977 film ""Close Encounters of the Third Kind.""  His other work included appearing in the 1971 television documentary series ""V.I.P.-Schaukel"" and the films ""The Sugarland Express"" (1974), ""The Girls In The Office"" (1979), ""Alamo: The Price Of Freedom"" (1988, as Davy Crockett), ""Wild Texas Wind"" (1991), ""Rush"" (1991), and ""Heaven &amp; Hell: North &amp; South Book III"" (1994). He was the brother of Texas Governor John Connally. ","Burial: Fairview Cemetery Fairview Wilson County Texas, USA ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=23918654&page=gr,"Apr. 9,  1921 Floresville Wilson County Texas, USA ","Sep. 4,  2001 Floresville Wilson County Texas, USA ",Merrill L. Connally
"Burial: Arlington National Cemetery Arlington Arlington County Virginia, USA ","35th President of the United States, US Senator, US Congressman, Pulitzer Prize Winning Author. He was the older brother of US Attorney General and US Senator   Robert F. Bobby Kennedy and US Senator Edward M. Ted Kennedy. He was the   youngest elected US President and to date, the only Catholic to hold the office. The   second son of wealthy businessman Joseph Patrick Kennedy and Rose Fitzgerald   Kennedy, he was born into a life of privilege but suffered from a variety of health   ailments including whooping cough, appendicitis and scarlet fever. His father taught   his children to be competitive in every aspect of life, but stressed the role of public   service. Young Jack was educated at private schools and after his father was   appointed US Ambassador to England, he studied at the London School of   Economics. Following his return to Massachusetts, he enrolled at Harvard   University and majored in Political Science with an emphasis on International   Relations while participating on the schools football and swim teams. He later   acquired experience while working as a secretary for his father in England. After the   United States entered World War II, he enlisted with the United States Navy. He rose   to the rank of lieutenant and was commander of the PT-109. During a patrol off the   Solomon Island, the boat was rammed in two by a Japanese destroyer resulting in   the deaths of two crewmen. The remaining personnel were tossed into the water.   Kennedy swam for four hours to a nearby island while towing an injured sailor by   his lifejacket. Kennedy decided to swim out on his own in order to find help and   after several more hours in the water, he reached another island where he came in   contact with local fishermen. He carved a message on a coconut and gave it to the   fishermen who in turn forwarded it to the allies. Kennedy and his crew were soon   rescued. The ordeal however, further damaged an already weakened back, which   hindered Kennedy for the remainder of his life. During the war, Kennedys older   brother Joseph Joe was killed in a plane crash. With Joe now gone, attention   shifted to Jack to be groomed for a political career and the ultimate goal, the   presidency. Recognized as a war hero, Kennedy ran for a local Democratic   Congressional seat and won. In 1952, he was elected US Senator from Massachusetts   and in 1953 he married the beautiful Jacqueline Lee Bouvier, the daughter of a   wealthy stockbroker, 12 years Kennedys junior. During the 1950s, the couple   gained national attention including an appearance on the Edward R. Murrow TV   interview program Person to Person. Kennedys popularity in the Senate grew to   the point where he was strongly considered to be a running mate for 1956   Democratic Presidential Nominee Adlai Stevenson. He received a Pulitzer Prize for   his book Profiles in Courage (1957). However for Kennedy, further health   complication arose including an ongoing battle with Addisons disease for which   often sapped his strength and vigor. For his chronic back pain, he received regular   injections of cortisone. In 1960, he launched his presidential campaign and   promised a new chapter in America for a new generation born in the 20th Century.   His Republican challenger was Vice President Richard Nixon. Their TV debate   became historic. While Nixon looked uncomfortable and unsure, Kennedy came off   as confident and focused. It is widely believed that the debate influenced many to be   in favor of Kennedy. The 1960 Presidential Election was decided by the narrowest of   margins (a little more than 100,000 votes) with Kennedy the winner. During his   inauguration speech he included the now-famous line Ask not what your country   can do for you, ask what you can do for your country. Kennedy did not have to wait   long for his first challenge. In April of 1961 tensions with Cubas dictator Fidel   Castro reached a breaking point. A plan was devised to liberate the country from   Castros ruling orchestrated by the Central Intelligence Agency (CIA). Kennedy   approved of the operation. The result was a total disaster and became what is   known as The Bay of Pigs. He learned from his mistakes and the following year   during October of 1962 a second situation with Cuba arose. The Soviet Union had   begun to establish missile sites within Cuba directed towards the United States. The   country faced a strong possibility of nuclear war with the Soviets. Over the next few   days several messages would go back and forth between Kennedy and Nikita   Khrushchev. Kennedy made a televised speech for implementing quarantine on   Cuba until the bases were dismantled. The Soviets backed down and removed the   sites. The event which is now known as The Cuban Missile Crisis showed   Kennedys ability to safely guide the United States away from what could have been   a world ending war. The remainder of his time in office saw the Civil Rights   Movement gain traction, a tense situation with Governor George Wallace of Alabama   who refused to let black students enter the University of Alabama for which resulted   in the need to use federal troops and the decision to further military programs in   Vietnam. Kennedy advanced the American space program in order to compete with   the Soviets. Additionally, he established the Peace Corps. Fear of losing southern   support in the South because of his policies towards Civil Rights led Kennedy to go   on a trip to Dallas, Texas. During a motorcade in Downtown, Dallas on November 22,   1963 accompanied by Mrs. Kennedy, Texas Governor John B. Connally and his wife   Nellie, Kennedy was fatally shot in the back of the neck and head. The country was   thrown into a state of mourning. Over the next two days, his flag draped casket   would lie in state at the US Capital. He was laid to rest at Arlington National   Cemetery on November 25, 1963. In the years since his death, details of alleged   extramarital affairs surfaced including encounters with movie star Marilyn Monroe.   Additionally, it is widely believed that Lee Harvey Oswald, the alleged assassin did   not act alone. Dallas nightclub owner Jack Ruby shot Oswald to death on live   television two days after Kennedys death. This added to the speculation of a   conspiracy. No solid proof has ever supported such a theory. In spite of this, Kennedy   remains as one of the most popular presidents in American history. (bio by:  C.S.) Family links: Parents:  Joseph Patrick Kennedy (1888 - 1969)  Rose Elizabeth  Fitzgerald  Kennedy (1890 - 1995) Spouse:  Jacqueline Lee  Bouvier  Kennedy Onassis (1929 - 1994) Children:  Arabella Kennedy (1956 - 1956)  John Fitzgerald Kennedy (1960 - 1999)  Patrick Bouvier Kennedy (1963 - 1963) Siblings:  Joseph Patrick Kennedy (1915 - 1944)  John Fitzgerald Kennedy (1917 - 1963)  Rose Marie Kennedy (1918 - 2005)  Kathleen Agnes  Kennedy  Cavendish (1920 - 1948)  Eunice Mary  Kennedy  Shriver (1921 - 2009)  Patricia  Kennedy  Lawford (1924 - 2006)  Robert Francis Kennedy (1925 - 1968)  Edward Moore Kennedy (1932 - 2009) Calculated relationship ","Plot: Section 45 Grid U-35 GPS (lat/lon):  38.88155, -77.07146 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=574&page=gr,"May 29,  1917 Brookline Norfolk County Massachusetts, USA ","Nov. 22,  1963 Dallas Dallas County Texas, USA ",John Fitzgerald Kennedy
"Burial: Texas State Cemetery Austin Travis County Texas, USA ","Texas Governor, Secretary of the Navy, Secretary of the Treasury. He is mostly remembered for being in the car when President John F. Kennedy was assassinated in Dallas, Texas on November 22, 1963, and for being wounded in the attack. Born on a farm near Floresville, Texas, one of eight children, he graduated with a Bachelor of Laws Degree from the University of Texas (at Austin) Law School, and during World War II, served as a fighter aircraft director on Navy aircraft carriers, earning the rank of Navy Lieutenant Commander.  Aboard the ""USS Essex"", he once endured 52 consecutive hours of Japanese kamikaze attacks in April 1945.  At the end of the war, he left the Navy, and from 1946 to 1949, he was a radio station manager in Austin, Texas for station KVET.  During the 1950s, he was the chief attorney for a Texas Oil Company.  In 1961, President John F. Kennedy named him Secretary of the Navy, a post that he held for eleven months, when he resigned to seek the Governorship of Texas.  Elected Governor in 1963 on the Democratic Party ticket, he remained as governor until 1969, all the while managing Lyndon B. Johnson's election strategies.  That year, President Richard M. Nixon, a Republican, named him as an advisor, and in 1971, Nixon appointed him as Secretary of the Treasury, the first Democrat to serve on a Republican President's Cabinet.  In 1973, he switched political parties, becoming a Republican, and ran unsuccessfully for the 1980 Republican Presidential Nomination.  In July 1974, Connally was indicted for accepting a bribe, charged with accepting $10,000 from milk producers while as Secretary of the Treasury, in return for recommending an increase in federal price supports for milk.  Tried on these charges, he was found innocent in April 1975.  After losing the 1980 presidential nomination, he dropped out of politics, and returned to work in the law firm of Vinson and Elkins.  In 1982, he went into the business of real estate development with his former political partner, Ben Barnes, but the business eventually went bankrupt.  Becoming appointed to the boards of such corporations as Kaiser Aluminum, Pan American Airways, Greyhound Corporation, the Ford Motor Company, Superior Oil Company, and other corporations, he continued to make a good living until his death from pulmonary fibrosis in 1993. (bio by:  Kit and Morgan Benson) Family links: Parents:  John Bowden Connally (1887 - 1950)  Lela  Wright  Connally (1889 - 1980) Spouse:  Idanell  Brill  Connally (1919 - 2006) Children:  Kathleen  Connally  Hale (1943 - 1959) Siblings:  Stanford W Connally (1911 - 1999)  Carmen  Connally  Hicks (1914 - 1998)  John Bowden Connally (1917 - 1993)  Merrill L. Connally (1921 - 2001)  Wayne Wright Connally (1923 - 2000) Calculated relationship ","Plot: Republic Hill, Section 2, Row P, Number 9 GPS (lat/lon):  30.26558, -97.72721 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=4122&page=gr,"Feb. 27,  1917 Floresville Wilson County Texas, USA ","Jun. 15,  1993 Houston Harris County Texas, USA ","John Bowden Connally, Jr"
"Burial: Austin Memorial Park Cemetery Austin Travis County Texas, USA ","Professional football player. After graduating from G. W. Brackenridge High School in San Antonio, Texas, William Harold Collins attended the University of Texas. He played for them in 1941 and 1942. He joined the Marine Corps in 1943 and was sent to Southwestern University as part of its training program. After the war he returned to the University of Texas where he was captain of the football team in 1946. He was drafted in 1947 by the New York Yankees in the All-America Football Conference, but ended up playing as guard that year for the Boston Yanks in the NFL. He played a full season of twelve games for the Yanks who garnered third place in the NFL East that year. He served as head football coach at Southwestern University before the Korean War. He earned the Bronze Star Medal. He was a high school football coach before entering the insurance business in Austin, Texas, in 1956. (bio by:  Mel Bashore) ","Maintained by: Find A Grave Originally Created by:  Mel Bashore Record added: Sep 09, 2007",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=21457181&page=gr,"Mar. 4,  1922 Breckenridge Stephens County Texas, USA ","Mar. 26,  1996 Temple Bell County Texas, USA ","Bill ""Spot"" Collins"
"Burial: Texas State Cemetery Austin Travis County Texas, USA ","Historical Figure, Author. Former Texas First Lady from 1963-1969.  Wife of Governor  John Connally .  Last survivor of the car that carried President  John Fitzgerald Kennedy . On November 22, 1963, it was Mrs. Connally that uttered the last words the president heard, ""Mr. President, you can't say Dallas doesn't love you,"" moments later those fateful shots rang out.  Nellie Connally was born Idanell Brill in Austin, Texas  one of five children born to Katie and Arno Brill.  She had always aspired to be an actress.  She even auditioned for the role of 'Scarlet O'Hara' in ""Gone With the Wind.""   In 1939 while at college she met her future husband John Connally.  By the time the two married a year later her acting career took a backseat.  She would be busy raising the couples for children and helping her husband with his political aspirations.  She would do everything she could from raising money to answering phones.  Her husband's mentor was future U.S. president Lyndon Johnson.  The Johnson's and the Connally's would remain forever friends, even though Nellie learned he was a man that could not be crossed.  Once when answering phones for him she accidentally disconnected a line and Lyndon Johnson threw a book in her direction.  She knew not to mess with him. Lady Bird Johnson However became a lifelong friend and someone she admired very much.  Nellie was a vivacious lady full of spunk with a great sense of humor.  She was a great asset to her husband's campaign.  In 1961 President Kennedy In 1961, President John F. Kennedy named John Connally Secretary of the Navy.  He did not stay at his job instead he ran for Governor of the state of Texas.  In 1963 he was elected Governor.  It was in November when the President decided to stop campaigning.  A tour of Texas was part of the tour.  John Connally told his wife that if only the people can see him they would surely elect him once again.  The Connally would accompany the Kennedy's on their tour.  On November 21 they went from Austin to San Antonio.  November 22, 1963 they went to Fort Worth and on to Dallas.  Everywhere they went Mrs. Kennedy and Mrs. Connally received a bouquet of roses.  Later on she thought it was funny they had always received yellow or white, but on that day it was red.  The motorcade was on that warm morning, and by days end the President was dead and the Governor was seriously wounded.  After the second bullet hit her husband Nellie just stayed patiently holding the hole in his chest assuring him things would be just fine.  She knew the President was already dead, and stayed focused on her husband.  At the Hospital Jackie Kennedy and Nellie Connally sat next to each other silently waiting to hear the news of their husband's fate.  An attended came up to Nellie and told her they could not operate on her husband until she filled out paperwork.  Years later Nellie would recall that if she had a gun she would have used it.  She was put in a separate room to wait for word of her husband.  The only visit she got was from Lady Bird Johnson with her arms stretched out ready to comfort her.  She would learn her husband survived.  She did not attend the funeral for the President, instead she sent her son John with a note for Mrs. Kennedy.  Jackie Kennedy told her son that if anything good came out of this it was that his father had lived.  The two never spoke again.  Nellie Connally felt it was not fair that her John lived and Jackie's did not.  John Connally would go on to be Secretary of the treasury under Nixon, but his career ended when he was accused of taking a bribe.  Nellie would face a battle with breast cancer that she would win.  She would continue her volunteer work for charitable causes.  In 1993 John Connally died.  In 1994  Jacqueline Kennedy  passed away at age 64 of cancer.  Nellie Connally was the last survivor of that Lincoln limousine.  Nellie Connally would always argue the fact that there was a second shooter on that faithful day.  She would appear on interviews for the fortieth anniversary in 2003.  She would tell everyone she met,"" You can argue with the experts and the Warren commission, but you cannot argue with me, I was in the car. In 2003 she published her account of the day for the first time with the book, 'From Love Field; Our Final hours with President John F. Kennedy.'  A very active person well into her eighties Mrs. Connally died peacfully in her sleep at age 87. (bio by:  The Perplexed Historian) Family links: Spouse:  John Bowden Connally (1917 - 1993) Children:  Kathleen  Connally  Hale (1943 - 1959) Calculated relationship ","Maintained by: Find A Grave Originally Created by:  The Perplexed Historian Record added: Sep 02, 2006",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=15585881&page=gr,"Feb. 24,  1919 Austin Travis County Texas, USA ","Sep. 1,  2006 Austin Travis County Texas, USA ","Idanell ""Nellie"" <i>Brill</i> Connally"
