burial,description,plot,url,birthdate,deathdate,name
"Burial: Fort Sam Houston National Cemetery San Antonio Bexar County Texas, USA ","US Air Force Lieutenant General. A decorated veteran of World War II, he rose in rank to become the Director of the National Security Agency. Born Gordon Aylesworth Blake, after graduating from high school in Charles City, Iowa in 1927, he received an appointment to attend the US Military Academy at West Point, New York and graduated in June 1931 with a commission as a 2nd lieutenant in the Coast Artillery Corps. He then attended the Primary and Advanced Flying Schools and received his pilot wings in October 1932 and transferred to the US Army Air Corps three months later and assigned to a pursuit squadron at Barksdale Field (now Barksdale Air Force Base), Louisiana. In July 1934 he entered Signal School at Fort Monmouth, New Jersey and after completing the Communications Officer's Course the following June, he became an instructor at the US Army Air Corps Technical School at Chanute Field, Illinois (now closed). In February 1939 he was assigned as a communications officer to the 18th Composite Wing in Hawaii where he was stationed when Japan attacked Pearl Harbor on December 7, 1941. He spent the remainder of World War II in the Pacific Theater of Operations and was responsible for the establishment of the Air Communications Office for Alaska. In November 1945 he returned to the US and became the deputy commander of Airways and Air Communications Service at Langley Field (now Langley Air Force Base, a part of Joint Base Langley-Eustis), Virginia. In August 1947 he entered the Air War College at Maxwell Air Force Base, Alabama and the following year he was assigned to Wright-Patterson Air Force Base, Ohio where he worked in research and development. Form 1948 until 1951 he was assigned to the Armament laboratory there and in 1951 he was promoted to the rank of brigadier general and placed in charge of 12 developmental laboratories. From June 1952 until January 1953 he was the Vice-Commander of Wright-Patterson and was transferred to Headquarters US Air Force, Washington DC, where he was appointed deputy director of communications in the Office of the Deputy Chief of Staff for Operations, becoming director of communications the following month. In June 1956 he was promoted to the rank of major general and became Assistant Deputy Chief of Staff for Operation at Headquarters US Air Force and the following year he was selected as Commander of the US Air Force Security Service in San Antonio, Texas. In September 1959 he was sent to Honolulu, Hawaii and became the Vice Commander-in-Chief and Chief of Staff at Headquarters Pacific Air Forces. He then returned to the US in July 1961 and became Commander of Headquarters Continental Air Command (now dissolved) at Robins Air Force Base, Georgia and was promoted to the rank of lieutenant general three months later. In July 1962 he became the Director of the National Security Agency at Fort Meade, Maryland and he retired in this position in 1965 with 34 years of continuous military service. Among his military decorations and awards include the Air Force Distinguished Service Medal (with one oak leaf cluster), the Silver Star, the Legion of Merit (with one oak leaf cluster), the Distinguished Flying Cross, the Air Medal (with one oak leaf cluster), the Army Commendation Medal, the American Defense Service Medal (with base clasp), the American Campaign Medal, the Asiatic-Pacific Campaign Medal (with four service stars), the World War II Victory Medal, the National Defense Service Medal (with one oak leaf cluster, the Air Force Longevity Service Award (with seven oak leaf clusters), the Philippine Liberation Medal (with two stars), and the Philippine Independence Medal. He died at the age of 87. The Lt. Gen. Gordon A. Blake Aircraft Save Award, given for the safe recovery of an imperiled airborne aircraft or assistance provided to an endangered aircraft on the ground, was named in his honor. (bio by:  William Bjornstad) Family links: Spouse:  Ruth W Blake (1912 - 1979) Calculated relationship Inscription: Silver Star LT GEN, US AIR FORCE, WW II, KOREA, VN ",Plot: Section 6 Site 636 ,http://www.findagrave.com/cgi-bin/fg.cgi?GRid=373921&page=gr,"Jul. 22,  1910 ","Sep. 1,  1997 ",LTG Gordon A Blake
"Burial: Confederate Cemetery San Antonio Bexar County Texas, USA ","Member of the Texas state senate, 1915-19; US Representative from Texas, 1919-21. Family links: Parents:  Hamilton Prioleau Bee (1822 - 1897)  Mildred Mary  Tarver  Bee (1832 - 1928) Spouses:  Mary Kyle  Burleson  Bee (1873 - 1923)  Bettie Mae  Oliver  Bee (1885 - 1932) Siblings:  Lamar Carlota  Bee  Benavides (1850 - 1921) **  Barnard Elliott Bee (1855 - 1881)  Clement Stevens Bee (1857 - 1899)  Hamilton Prioleau Bee (1858 - 1923)  John Tarver Bee (1859 - 1922)  Anne Fayssoux Bee (1862 - 1942)  Carlos Bee (1867 - 1932)  Edward Atenogenes Varea Bee (1869 - 1894)  Benjamin Elliott Bee (1874 - 1941) Calculated relationship **Half-sibling ",Plot: Section 4 Lot 49 ,http://www.findagrave.com/cgi-bin/fg.cgi?GRid=18120&page=gr,"Jul. 8,  1867 Monterrey Nuevo Len, Mexico ","Apr. 20,  1932 San Antonio Bexar County Texas, USA ",Carlos Bee
"Burial: Sunset Memorial Park San Antonio Bexar County Texas, USA ","Second baseman for the Cleveland Indians, 1925. Family links: Parents:  Frederick Jay Bedford (1868 - 1932)  Christina Marie  O'Brien  Bedford (1874 - 1967) Spouse:  Velma M Bedford (____ - 1994) Siblings:  William Eugene Bedford (1896 - 1977)  Christina Lillian  Bedford  Price (1899 - 1974)  Martha Elizabeth  Bedford  Walker (1901 - 1995)  Winifred Janet Bedford (1904 - 1995)  Mary Kathleen  Bedford  Joyce (1906 - 2007)  Frederick Jay Bedford (1909 - 1999)  Florence Ellen  Bedford  O'Neal (1912 - 2011)  Cecelia  Bedford  Boyle (1914 - 2001) Calculated relationship ","Plot: Section 6 (oaklawn) Lot 820 GPS (lat/lon):  29.29872, -98.25957 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=18162&page=gr,"Dec. 2,  1896 Commerce Hunt County Texas, USA ","Oct. 6,  1977 San Antonio Bexar County Texas, USA ","William Eugene ""Gene"" Bedford"
"Burial: Confederate Cemetery San Antonio Bexar County Texas, USA ","Civil War Confederate Brigadier General. One of the first general officers to be killed in the American Civil War, he is best remembered for inspiring the famous nickname ""Stonewall"" upon then Brigadier General Thomas J. Jackson at the First Battle of Bull Run (also known as First Manassas). Born in Charleston, South Carolina to a prominent family of English ancestry, he moved with his family to Pendleton, South Carolina in 1833, where he attended the Pendleton Academy. Three years later, his parents moved to Texas, but he stayed behind with his mother's sisters to pursue his education. He received an appointment to attend the US Military Academy at West Point, New York and graduated in 1845 with a commission as a 2nd lieutenant and was assigned to the 3rd US Infantry. His first assignment was serving in the military occupation of Texas. During the Mexican-American War, he was twice brevetted for gallantry, first at the Battle of Cerro Gordo near Xalapa, Veracruz, Mexico, where he was wounded, and then at the Battle of Chapultepec in Mexico City. After the Mexican-American War, he was assigned to garrison duty at Pascagoula, Mississippi, where he served as adjutant, followed by frontier duty, mostly at Fort Fillmore in New Mexico Territory from 1849 to 1855. In 1855 he was promoted to the rank of captain of Company D of the Tenth Infantry and assigned to Fort Snelling, Minnesota. In 1857 his unit participated in the Utah War, where he was placed in command of the Utah Volunteer Battalion and brevetted to the rank of lieutenant colonel. In 1860 he was posted to Fort Laramie, Wyoming, briefly serving as the fort's commanding officer. When the Southern States seceded from the Union in 1861, he resigned from the US Army and returned to Charleston where he was elected lieutenant colonel of the 1st South Carolina Regulars. On June 17, 1861 he was appointed brigadier general and given command of the 3rd Brigade of the Army of the Shenandoah, under Brig. Gen. Joseph E. Johnston, that was mobilized at Manassas Junction in Virginia. During the subsequent battle, later known as the First Battle of Bull Run, he is purported to have used the term ""stone wall"" in reference to then Brigadier General Thomas J. Jackson and his men, giving rise to the name ""Stonewall Jackson"" and his Stonewall Brigade. He was mortally wounded as the Confederates began to gain the upper hand in the battle and he died the following day at Manassas, Virginia at the age of 37. Because he died shortly after the battle, it could not be fully determined whether his naming of ""Stonewall"" Jackson was intended as praise, a condemnation, or whether it was simply a misattributed quote. His older brother, Hamilton P. Bee, was also a Confederate Army brigadier general who served in the Texas campaign. (bio by:  William Bjornstad) Family links: Parents:  Barnard Elliott Bee (1789 - 1853)  Ann Wragg  Fayssoux  Bee (1789 - 1858) Spouse:  Sophia Elizabeth  Hill  Thurston (1836 - 1920) Siblings:  Hamilton Prioleau Bee (1822 - 1897)  Barnard Elliott Bee (1824 - 1861)  Barnard Elliott Bee (1824 - 1861)  Martha F. Bee (1827 - 1861)  Emma Templar Bee (1830 - 1848)  Maria Bee (1833 - 1837) Calculated relationship ",Plot: Bee Family Plot. *Cenotaph  ,http://www.findagrave.com/cgi-bin/fg.cgi?GRid=43676903&page=gr,"Feb. 8,  1824 Charleston Charleston County South Carolina, USA ","Jul. 22,  1861 Manassas Manassas City Virginia, USA ","Barnard Elliott Bee, Jr"
"Burial: Fort Sam Houston National Cemetery San Antonio Bexar County Texas, USA ","Viet Nam Congressional Medal of Honor Recipient. Served in the Viet Nam War in the United States Army as a Master Sergeant, in Detachment B-56, 5th Special Forces Group (Airborne), 1st Special Forces (the Green Berets). He was awarded the CMOH for his bravery West of Loc Ninh on May 2, 1968 while a Staff Sergeant. His citation reads On the morning of 2 May 1968, a 12-man Special Forces Reconnaissance Team was inserted by helicopters in a dense jungle area west of Loc Ninh, Vietnam to gather intelligence information about confirmed large-scale enemy activity. This area was controlled and routinely patrolled by the North Vietnamese Army. After a short period of time on the ground, the team met heavy enemy resistance, and requested emergency extraction. Three helicopters attempted extraction, but were unable to land due to intense enemy small arms and anti-aircraft fire. Sergeant Benavidez was at the Forward Operating Base in Loc Ninh monitoring the operation by radio when these helicopters returned to off-load wounded crewmembers and to assess aircraft damage. Sergeant Benavidez voluntarily boarded a returning aircraft to assist in another extraction attempt. Realizing that all the team members were either dead or wounded and unable to move to the pickup zone, he directed the aircraft to a nearby clearing where he jumped from the hovering helicopter, and ran approximately 75 meters under withering small arms fire to the crippled team. Prior to reaching the team's position he was wounded in his right leg, face, and head. Despite these painful injuries, he took charge, repositioning the team members and directing their fire to facilitate the landing of an extraction aircraft, and the loading of wounded and dead team members. He then threw smoke canisters to direct the aircraft to the team's position. Despite his severe wounds and under intense enemy fire, he carried and dragged half of the wounded team members to the awaiting aircraft. He then provided protective fire by running alongside the aircraft as it moved to pick up the remaining team members. As the enemy's fire intensified, he hurried to recover the body and classified documents on the dead team leader. When he reached the leader's body, Sergeant Benavidez was severely wounded by small arms fire in the abdomen and grenade fragments in his back. At nearly the same moment, the aircraft pilot was mortally wounded, and his helicopter crashed. Although in extremely critical condition due to his multiple wounds, Sergeant Benavidez secured the classified documents and made his way back to the wreckage, where he aided the wounded out of the overturned aircraft, and gathered the stunned survivors into a defensive perimeter. Under increasing enemy automatic weapons and grenade fire, he moved around the perimeter distributing water and ammunition to his weary men, reinstilling in them a will to live and fight. Facing a buildup of enemy opposition with a beleaguered team, Sergeant Benavidez mustered his strength, began calling in tactical air strikes and directed the fire from supporting gunships to suppress the enemy's fire and so permit another extraction attempt. He was wounded again in his thigh by small arms fire while administering first aid to a wounded team member just before another extraction helicopter was able to land. His indomitable spirit kept him going as he began to ferry his comrades to the craft. On his second trip with the wounded, he was clubbed from additional wounds to his head and arms before killing his adversary. He then continued under devastating fire to carry the wounded to the helicopter. Upon reaching the aircraft, he spotted and killed two enemy soldiers who were rushing the craft from an angle that prevented the aircraft door gunner from firing upon them. With little strength remaining, he made one last trip to the perimeter to ensure that all classified material had been collected or destroyed, and to bring in the remaining wounded. Only then, in extremely serious condition from numerous wounds and loss of blood, did he allow himself to be pulled into the extraction aircraft. Sergeant Benavidez's gallant choice to join voluntarily his comrades who were in critical straits, to expose himself constantly to withering enemy fire, and his refusal to be stopped despite numerous severe wounds, saved the lives of at least eight men. His fearless personal leadership, tenacious devotion to duty, and extremely valorous actions in the face of overwhelming odds were in keeping with the highest traditions of the military service, and reflect the utmost credit on him and the United States Army. His Medal was issued to him at the Pentagon by President Ronald Reagan on February 24, 1981. (bio by:  Russ Dodge) Family links: Parents:  Salvador Benavidez (1911 - 1938) Sibling:  Roy Perez Benavidez (1935 - 1998)  Roger P. Benavidez (1936 - 2015) Calculated relationship Inscription: MEDAL OF HONOR MSG US ARMY VIETNAM PH (PURPLE HEART) BELOVED HUSBAND, FATHER, AND GRANDPA ",Plot: Section AI Site 553 ,http://www.findagrave.com/cgi-bin/fg.cgi?GRid=11867&page=gr,"Aug. 5,  1935 Cuero DeWitt County Texas, USA ","Nov. 29,  1998 San Antonio Bexar County Texas, USA ",MSGT Roy Perez Benavidez
"Burial: Eastview Cemetery San Antonio Bexar County Texas, USA ","Businessman, Political Leader. As a boy, he learned the art of dealing a deck of cards and became so good at it he was hired to work as a dealer in a gambling establishment. There he worked until he made his boss wealthy. With a little money he then moved to San Antonio. His luck at poker soon helped him to pay down on a home and open a saloon. As he continued to win he opened and expanded his saloon operations city-wide. He also invested in real estate and became San Antonio's greatest entrepreneur. Occasionally, he made cross country gambling trips and became one of the most feared men in the nation at the gambling tables. His gambling abilities were known from coast-to-coast. Having become rich and powerful he was able to gain absolute control of San Antonio's election process. But in 1936 he was convicted of failure to pay income tax. However, he received a pardon from President Franklin D. Roosevelt. (bio by:  Deleon Todd) Family links: Children:  Lillian Marie  Bellinger  Stilwell (1906 - 1963) Calculated relationship ","Maintained by: Find A Grave Originally Created by:  Deleon Todd Record added: Jun 14, 2003",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=7575763&page=gr,"Apr. 15,  1875 Lockhart Caldwell County Texas, USA ","Jun. 14,  1937 San Antonio Bexar County Texas, USA ",Charles Bellinger
"Burial: Confederate Cemetery San Antonio Bexar County Texas, USA GPS (lat/lon):  29.41993, -98.46339 ","Politician, Confederate Civil War Brigadier General. Born in Charleston, South Carolina to a prominent family of English ancestry, he moved with his family to Pendleton, South Carolina in 1833. In 1836, when he was 14 years old, his family moved to Texas where his father was a leader in the Texas Revolution against Mexico. At age 17, he was appointed as secretary for the commission that determined the border between the US and the Republic of Texas. In 1843, Texas President Sam Houston sent him along with Joseph C. Eldridge and Thomas S. Torrey to open negotiations with the Comanche Native American tribe and they achieved the Treaty of Tehuacana Creek. In 1846 he served as Secretary of the Texas Senate in the First Texas Legislature. After the outbreak of the Mexican-American War in 1846, he served under Benjamin McCulloch's Company A of Col. Jack Hays's 1st Regiment of Texas Mounted Volunteers for a time before transferring to Mirabeau B. Lamar's Texas cavalry company as a 2nd lieutenant. The following year he signed up for a second term, serving as a first lieutenant in Lamar's Company, which was by then a component of Colonel Peter Hansborough Bell's regiment of Texas volunteers. After the war, he moved to Laredo, Texas and in 1848 he ran and won a seat in the Texas House of Representatives for the 3rd Texas Legislature. He was repeatedly re-elected and served from 1849 through the end of the 7th Legislature, for a total of 10 years in the House of Representatives. In the 6th Legislature, he was elected Speaker of the House. After the outbreak of the American Civil War in April 1861, he was elected brigadier general of the Texas militia and appointed as a brigadier general in the Confederate Army in March 1862 and commanded the brigade that consisted of the 1st, 23rd, 26th, 35th, and 36th cavalry regiments. He was headquartered in Brownsville, Texas where he facilitated the trade of cotton for munitions through Mexico. In November 1863 he abandoned Brownsville in the face of a Union expeditionary force under Maj. Gen. Nathaniel P. Banks. In early 1864 he transferred to a field command under Lieutenant General Richard Taylor in the Red River Campaign. On April 9, 1864 at the Battle of Pleasant Hill, Louisiana, he had two different horses shot out from under him during a cavalry charge, but was only slightly wounded. Later, despite intense criticism of his handling of his troops, he was given command of Brigadier General Thomas Green's division in Major General John A. Wharton's cavalry corps in February 1865. After that time he commanded an infantry brigade in General Samuel B. Maxey's division until the end of the Civil War. In 1869 he and his family left Texas and moved to Saltillo, Mexico, in self-imposed exile, before returning to San Antonio, Texas in 1874 and established a law practice. He died in San Antonio at the age of 75. His papers reside at the Dolph Briscoe Center for American History at the University of Texas in Austin, Texas. He was the older brother of Barnard Elliott Bee, Jr., who also served as a Confederate Army brigadier general in the American Civil War, and who was killed at the First Battle of Bull Run (also known as the First Battle of Manassas) at Manassas, Virginia in July 1861. (bio by:  William Bjornstad) Family links: Parents:  Barnard Elliott Bee (1789 - 1853)  Ann Wragg  Fayssoux  Bee (1789 - 1858) Spouse:  Mildred Mary  Tarver  Bee (1832 - 1928) Children:  Lamar Carlota  Bee  Benavides (1850 - 1921)  Barnard Elliott Bee (1855 - 1881)  Clement Stevens Bee (1857 - 1899)  Hamilton Prioleau Bee (1858 - 1923)  John Tarver Bee (1859 - 1922)  Anne Fayssoux Bee (1862 - 1942)  Carlos Bee (1867 - 1932)  Edward Atenogenes Varea Bee (1869 - 1894)  Benjamin Elliott Bee (1874 - 1941) Siblings:  Hamilton Prioleau Bee (1822 - 1897)  Barnard Elliott Bee (1824 - 1861)  Barnard Elliott Bee (1824 - 1861)  Martha F. Bee (1827 - 1861)  Emma Templar Bee (1830 - 1848)  Maria Bee (1833 - 1837) Calculated relationship ","Maintained by: Find A Grave Record added: Mar 20, 2000",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=8958&page=gr,"Jul. 22,  1822 Charleston Charleston County South Carolina, USA ","Oct. 3,  1897 San Antonio Bexar County Texas, USA ",Gen Hamilton Prioleau Bee
"Burial: Fort Sam Houston National Cemetery San Antonio Bexar County Texas, USA ","United States Army Officer. He was the founder and first Commander of the United States Army's Counter-terrorist 1st Special Operations Detachment - Delta, also known as ""Delta Force"". He is remembered for its most decisive failure, the attempt to rescue the 52 hostages held in the American Embassy in Teheran, Iran in 1980.  Born in Atlanta, Georgia, affectionately known as Chargin' Charlie, was a six foot, 3 inch Green Beret (Army Special Forces) officer and decorated hero of the Vietnam War.  After attending Brown High School, he was an all-state Football player and three-year starting guard on the University of Georgia Football team.  Obtaining his Army commission in the Infantry in 1952, he was assigned to the 508th Regimental Combat Team at Fort Benning, Georgia, and later spent three years with the 82nd Airborne Division.  When the Special Forces were created in 1958, he immediately took an interest and joined them, becoming an Advisor in 1960 in South Vietnam.  In 1962, he was trained with the British Army's 22nd Special Air Service Regiment during Britain's war to put down communist guerillas in Malaysia, and much of what he learned there he would put into the later Delta Force.  He returned to Vietnam in 1965, where he fought an eight-day battle against North Vietnamese regulars at Plei Me.  Later, in 1966, he was severely wounded when an enemy .50 caliber round hit him in the stomach.  In 1974, after many years arguing for a special anti-terrorist unit, the Army selected him to form one, the result was Delta Force, which he located in an old post stockade at Fort Bragg, North Carolina so they could train in privacy.  In 1979, radicals seized the United States Embassy in Teheran, Iran, and held the American Embassy personnel there as hostages.  President Jimmy Carter then authorized Delta Force to plan and execute a rescue mission.  When the mission failed, and eight servicemen died in the evacuation of their secret desert base, Beckwith's career in the Army was effectively ended.  He retired from the Army in 1981, and formed a consulting firm, Security Assistance Services.  In 1983, he wrote a book, ""Delta Force"" with Donald Knox, in which he blamed the helicopters and their Marine Corps pilots for the failure of the rescue mission.  An innovative thinker and creative soldier, his concept of a counter-terrorist force would been seen as years ahead of its time.  He died in his home in Austin, Texas, of natural causes. (bio by:  Kit and Morgan Benson) Family links: Parents:  Elza Dozier Beckwith (1894 - 1940)  Clara Eugenia  Rey  Beckwith (1895 - 1973) Siblings:  Elza Dozier Beckwith (1919 - 1920)  Lamar Raymond Beckwith (1921 - 2015)  Elzine Claire  Beckwith  Love (1924 - 1998)  Charles Alvin Beckwith (1929 - 1994) Calculated relationship ","Plot: Section 9, Grave 1132 GPS (lat/lon):  29.28633, -98.25512 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=9791&page=gr,"Jan. 22,  1929 ","Jun. 13,  1994 ",COL Charles Alvin Beckwith
"Burial: San Jose Burial Park San Antonio Bexar County Texas, USA ","Cartoonist and author.  In 1927 he began the syndicated cartoon strip ""Jane Arden.""  He wrote various magazine articles and historical novels.  Three of his books with Texas backgrounds were ""Sun in Their Eyes"" (1944), ""Tempered Blade"" (1946) and ""Smoke up the Valley"" (1949). Family links: Parents:  Edward W Barrett (1866 - 1950)  Clara  Prow  Barrett (____ - 1942) Sibling:  Forrest P Barrett (1894 - 1952)  Montgomery Barrett (1897 - 1949) Calculated relationship ","Plot: Block 9 Section 1 W 1/2 Lot 307 Grave 5 GPS (lat/lon):  29.20758, -98.28371 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=18143&page=gr,"Jun. 19,  1897 Mitchell Lawrence County Indiana, USA ","Oct. 8,  1949 San Antonio Bexar County Texas, USA ",Montgomery Barrett
"Burial: Confederate Cemetery San Antonio Bexar County Texas, USA ","Confederate Military Officer, Texas Ranger. Born in Fort Gibson, Cherokee Nation. His father died when he was 2 and by 1845, he and his family had lived in numerous locations. As an adult, he continued this restless lifestyle, never staying in one place for very long. In 1845, he moved to Texas to live with his brother, John Robert Baylor near La Grange, in Ross Prairie. He attended Rutersville College and later attended Baylor University at Independence, Texas. He worked for a short time as a clerk with the Commissary Department of the U. S. Army at the Alamo in San Antonio. In 1854, he moved to California, sure that he would strike it rich in the gold fields. He was in San Francisco in 1856 and was a member of the Vigilance Committee. He returned to Texas about 1859. In June, 1860, he was again living with his brother, but in Weatherford. Baylor and his brother and others ran down a party of Indian raiders in Parker County and killed nine of the band. He was commissioned a first lieutenant in Company H of the Second Cavalry, John Robert Baylor's Arizona Brigade serving as regimental adjutant before he resigned to be senior aide-de-camp to General Albert Sidney Johnston in the fall of 1861. When Johnston died at the battle of Shiloh, Tennessee on April 6, 1862, Baylor returned to Texas and was elected lieutenant colonel and commander of the Second Battalion of Henry H. Sibley's army. The battalion merged with the Second Cavalry regiment of the Arizona Brigade and he was elected its colonel, and also commanded a regiment of cavalry during the Red River campaign of 1864; commended for gallantry at the battles of Mansfield and Pleasant Hill. April 6, 1865 at the Fannin Hotel in Galveston, Baylor, after an argument about ""military matters"", shot and killed a fellow staff member, John Austin Wharton an incident he regretted the rest of his life. After the Civil War, Baylor was commissioned a second lieutenant and commanded Company C, Frontier Battalion of Texas Rangers in El Paso. He and his family made a forty-two day trip to Ysleta to establish his headquarters in 1879. The remainder of that year saw him tracking down the raiding Indians in that area, specifically in the pursuit of Mescalero Apache chief Victorio; however this endeavor was ineffective. In September 1880 Baylor was transferred and promoted to captain of Company A and in 1882, promoted to major and given command of several ranger companies. During this period he was active in the fence-cutting conflict in Nolan County. He was described as being a poor disciplinarian and an indifferent judge of men; he did, however, have a flair for writing for newspapers and had a ""fair"" education. After his Company was disbanded, he resigned from ranger service in 1885 and was elected to the Texas House of Representatives from El Paso and served as clerk of the district and circuit courts for a number of years. He got along well with his Mexican neighbors, a trait not shared by all Rangers, and lived in Mexico from 1898 until 1913, returning to San Antonio where he died in 1916. He is buried in the Confederate Cemetery. (bio by:  H M G) Family links: Parents:  John Walker Baylor (____ - 1835)  Sophia Marie  Weidner  Baylor (____ - 1862) Siblings:  Mary Jane  Baylor  Maltby (1810 - 1890)  John Robert Baylor (1822 - 1894)  George Wythe Baylor (1832 - 1916) Calculated relationship ","Plot: Section 3 Lot 45 GPS (lat/lon):  29.42073, -98.46391 ",http://www.findagrave.com/cgi-bin/fg.cgi?GRid=22483&page=gr,"Aug. 24,  1832 ","Mar. 24,  1916 ",Col George Wythe Baylor
